,Word,Definition
1709,levatio ,"['alleviation,', 'mitigation,', 'solace']"
1710,leviculus ,"['empty-headed,', 'vain,', 'silly']"
1711,levidensis ,"['thin,', 'slight,', 'poor']"
1712,levis ,"['rapid,', 'swift', '/', 'unimportant', '/', 'fickle,', 'inconstant', '/', 'unstable']"
1713,levis ,"['light,', 'slight,', 'trivial', '/', 'beardless,', 'bald', '/', 'light-armed']"
1714,levitas ,"['lightness,', 'levity', '/', 'fickleness,', 'inconstancy', '/', 'groundlessness']"
1715,leviter ,"['lightly,', 'softly,', 'slightly']"
1716,levo ,"['to', 'smooth,', 'polish']"
1717,levo ,"['to', 'raise,', 'lift', 'up', '/', 'relieve,', 'ease', '/', 'diminish,', 'weaken,', 'impair']"
1718,lex legis ,"['law,', 'statute', '/', 'covenant,', 'agreement']"
1719,libatio ,['libation']
1720,libellus ,"['little', 'book']"
1721,libenter ,"['willingly,', 'with', 'pleasure']"
1722,liber ,"['child,', 'offspring']"
1723,liber libri ,['book']
1724,"liber libera, liberum ","['free,', 'independent,', 'unrestricted']"
1725,liberalis ,"['courteous,', 'generous,', 'gentlemanly']"
1726,liberalitas ,"['courtesy,', 'kindness,', 'generousity', '/', 'a', 'grant']"
1727,liberaliter ,"['courteously,', 'generously,', 'honorably']"
1728,liberatio ,"['release,', 'liberation,', 'acquittal,', 'setting', 'free']"
1729,libere ,"['freely,', 'openly,', 'frankly']"
1730,libero ,"['to', 'liberate,', 'set', 'free']"
1731,libero ,"['to', 'lift', '(an', 'obstacle),', 'raise']"
1732,libero ,"['to', 'set', 'free,', 'deliver,', 'liberate,', 'release', '/', 'exempt']"
1733,libertas ,"['freedom,', 'liberty,', 'independence', '/', 'frankness,', 'candor']"
1734,libido ,"['whim,', 'caprice,', 'violent', 'desire,', 'passionate', 'longing']"
1735,licet ,"['granted', 'that,', 'although', '/', 'it', 'is', 'allowed,', 'one', 'may', 'or', 'can']"
1736,licet ,"['(as', 'conj)', 'granted', 'that,', 'although']"
1737,ligo ,"['to', 'bind,', 'tie']"
1738,lima ,"['file,', 'polishing,', 'revision']"
1739,"limen, limina ",['threshold']
1740,lingua ,"['language,', 'tongue,', 'speech']"
1741,lino ,"['to', 'smear,', 'befoul,', 'dirty']"
1742,linteum ,"['linen,', 'napkin']"
1743,liquidus ,"['fluid,', 'flowing,', 'liquid', '/', 'clear,', 'evident,', 'certain']"
1744,litigo ,"['to', 'quarrel,', 'dispute']"
1745,littera ,"['letter', '(of', 'the', 'alphabet)']"
1746,litterae ,"['(pl)', 'letter,', 'epistle,', 'missive,', 'note', '/', 'literature']"
1747,loci ,"['(pl)', 'passages', 'in', 'literary', 'works']"
1748,loco ,"['to', 'place,', 'put,', 'position']"
1749,locupleto ,"['to', 'enrich,', 'make', 'wealthy']"
1750,locus ,"['place,', 'location,', 'situation,', 'spot']"
1751,loginquitas ,"['distance,', 'remoteness,', 'isolation']"
1752,longe lateque ,"['far', 'and', 'wide']"
1753,longe ,['far']
1754,longus ,['long']
1755,loquax loquacis ,"['talkative,', 'loquacious,', 'garrulous']"
1756,loquor locutus ,"['to', 'say,', 'speak,', 'tell']"
1757,loricatus ,"['wearing', 'armor,', 'armored']"
1758,lubricus ,"['oily,', 'slippery,', 'slick']"
1759,lucerna ,['lamp']
1760,lucror ,"['to', 'gain,', 'profit,', 'win']"
1761,lucrosus ,"['profitable,', 'gainful']"
1762,lucrum ,"['gain,', 'profit']"
1763,luctisonus ,"['sad-sounding,', 'mournful,', 'baleful']"
1764,luctus ,"['lamentation,', 'mourning,', 'grief']"
1765,ludio ludius ,"['actor,', 'player']"
1766,ludo lusi lusum ,"['to', 'play,', 'sport', '/', 'imitate,', 'banter', '/', 'delude,', 'deceive']"
1767,ludus ,"['game,', 'sport,', 'school']"
1768,lues ,"['plague,', 'pestilence,', 'calamity']"
1769,lugeo ,"['to', 'mourn,', 'be', 'in', 'mourning,', 'grieve', '/', '(tans,)', 'to', 'lament,', 'bewail']"
1770,luna ,['moon']
1771,lupus ,['wolf']
1772,Lutosensis ,['Leuze']
1773,lux lucis ,['light']
1774,luxuria ,"['luxury,', 'extravagance,', 'opulence']"
1775,macer ,"['thin,', 'lean']"
1776,macero ,"['to', 'soften,', 'weaken,', 'reduce,', 'torment']"
1777,macies ,"['thiness,', 'gauntness', '/', 'poverty', 'barrenness']"
1778,macresco ,"['to', 'become', 'lean,', 'skinny,', 'thin']"
1779,mactabilis ,"['deadly,', 'lethal']"
1780,macto ,"['to', 'magnify,', 'glorify,', 'honor', '/', 'slay,', 'fight,', 'punish,', 'afflict']"
1781,macula ,"['stain,', 'mark,', 'spot', '/', 'blemish,', 'fault,', 'flaw']"
1782,maculo ,"['to', 'stain,', 'blemish,', 'defile,', 'pollute']"
1783,maculosus ,"['spotted,', 'speckled,', 'polluted']"
1784,madesco ,"['to', 'get', 'wet']"
1785,madide ,['drunkenly']
1786,madidus ,"['wet,', 'moist,', 'soaked,', 'boiled,', 'soft,', 'drunk,', 'dyed,', 'steeped']"
1787,mador ,"['wetness,', 'moisture']"
1788,maero ,"['to', 'grieve,', 'sorrow']"
1789,maeror meror ,"['mourning,', 'grief,', 'sorrow']"
1790,magis ,"['more,', 'to', 'a', 'greater', 'extent,', 'rather,', 'for', 'preference']"
1791,magister ,"['master,', 'canon', '/', 'master', 'of', 'a', 'school,', 'professor']"
1792,magnopere magnus opere ,"['very,', 'very', 'much']"
1793,magnus maior maximus ,"['large,', 'great,', 'important']"
1794,magus ,['magical']
1795,maiestas ,"['majesty,', 'dignity,', 'greatness']"
1796,maiores ,"['(pl)', 'ancestors']"
1797,Malbodiensis ,['Maubeuge']
1798,male peius pessime ,"['badly,', 'ill,', 'wrongly']"
1799,malens ,['preferring']
1800,Malmundarium ,['Malmedy']
1801,malo mallui malus ,"['to', 'choose,', 'prefer']"
1802,malum ,"['evil,', 'misfortune,', 'misdeed,', 'crime,', 'injury,', 'damage']"
1803,malus peior pessimus ,"['bad,', 'wicked,', 'evil']"
1804,mancipo mancepo ,"['to', 'sell', 'formally,', 'turn', 'over,', 'give', 'into', 'charge']"
1805,mancipo ,"['to', 'sell', 'formally,', 'give', 'up']"
1806,mandatum ,"['order,', 'decree,', 'mandate,', 'instruction']"
1807,mando ,"['to', 'commit,', 'entrust,', 'order,', 'command']"
1808,mane ,"['morning,', 'early', 'in', 'the', 'morning,', 'early']"
1809,manentia ,['permanency']
1810,maneo ,"['to', 'remain,', 'stay,', 'stay', 'the', 'night,', 'last,', 'endure,', 'abide', 'by']"
1811,mansuetus ,"['mild,', 'soft,', 'gentle']"
1812,manus manus ,"['hand,', 'band,', 'handwriting']"
1813,Marceniense ,"['Marchiennes,']"
1814,Marcieniensis ,['Marchiennes']
1815,mare maris ,['sea']
1816,maritus ,['husband']
1817,mater matris ,['mother']
1818,"matera, mairia ","['?vat,', 'for', 'the', 'fermentation', 'of', 'beer']"
1819,materia ,"['material,', 'substance,', 'matter']"
1820,matertera ,"['maternal', 'aunt']"
1821,matrimonium ,['marriage']
1822,maxime ,"['greatly,', 'exceedingly,', 'to', 'the', 'highest', 'degree,', 'very']"
1823,maxime ,"['especially,', 'particularly,', 'principally']"
1824,me ,"['(acc)', 'me', '/', 'that', 'old', 'black', 'magic', 'has', 'ME', 'in', 'its', 'spell']"
1825,me ,"['(abl)', 'me', '/', ""you'll"", 'do', 'fine', 'with', 'ME,', 'baby']"
1826,medicus ,"['doctor,', 'physician']"
1827,mediocris ,"['ordinary,', 'average,', 'fair,', 'moderate,', 'mediocre']"
1828,meditor meditatus ,"['to', 'reflect', 'upon,', 'consider,', 'ponder', '/', 'practice']"
1829,medius ,"['middle,', 'the', 'middle', 'of']"
1830,mei ,"['my,', 'mine', '/', 'MY', 'heart', 'belongs', 'to', 'daddy', 'that', 'old', 'gang', 'of', 'MINE']"
1831,mel  mellis ,['honey']
1832,melior ,['better']
1833,mellitus ,"['honeyed,', 'sweet', 'as', 'honey']"
1834,membrana ,"['thin', 'skin,', 'film,', 'parchment,', 'membrane,', 'prepared', 'skin']"
1835,memini meminisse ,"['to', 'remember']"
1836,memor ,"['mindful,', 'remembering,', 'grateful,', 'thoughful,', 'prudent']"
1837,memoratus ,['mentioned']
1838,memoria ,"['memory,', 'remembrance,', 'recall,', 'recollection']"
1839,Menapiorum ,[]
1840,mendosus ,"['faulty,', 'full', 'of', 'faults']"
1841,mens mentis ,"['mind,', 'thought,', 'intention,', 'intellect']"
1842,mensa ,['table']
1843,mensis mensis ,['month']
1844,merces mercedis ,"['pay,', 'reward,', 'recompense,', 'compensation']"
1845,"mereo, mereor ","['deserve,', 'earn,', 'be', 'entitled', 'to,', 'merit']"
1846,mereo ,"['deserve,', 'gain,', 'obtain,', 'serve', 'as', 'a', 'soldier']"
1847,meretrix meretricis ,"['prostitute,', 'whore,', 'harlot']"
1848,meridianus ,"['midday,', 'afternoon,', 'south']"
1849,mestitia ,['misfortune?']
1850,Metim ,['Metz']
1851,metuo ,"['to', 'fear,', 'dread,', 'be', 'frightened']"
1852,metus ,"['fear,', 'dread,', 'anxiety']"
1853,meus ,['my']
1854,mica ,"['crumb,', 'morsel,', 'grain']"
1855,mihi ,"['(dat)', 'me', '/', 'give', 'ME', 'land,', 'lots', 'of', 'land']"
1856,miles militis ,"['soldier,', 'warrior,', 'knight']"
1857,milia ,"['(pl)', 'thousands']"
1858,militaris -e ,"['of', 'a', 'soldier,', 'military,', 'martial']"
1859,mille ,"['a', 'thousand']"
1860,millies milies ,"['a', 'thousand', 'times']"
1861,minime ,"['in', 'the', 'least', 'degree,', 'very', 'little', '/', 'not', 'at', 'all,', 'by', 'no', 'means']"
1862,minimus ,"['least,', 'smallest,', 'slightest']"
1863,ministro ,"['to', 'serve,', 'wait', 'upon,', 'provide,', 'supply']"
1864,ministro ,"['to', 'attend,', 'wait', 'upon,', 'assist']"
1865,minor ,"['smaller,', 'less,', 'slighter']"
1866,minuo  minui  minutum ,"['To', 'less,', 'diminish,', 'decrease,', 'grow', 'smaller']"
1867,mire ,"['wonderfully,', 'marvellously,', 'uncommonly']"
1868,miro ,"['to', 'wonder']"
1869,miror ,"['to', 'marvel', 'at,', 'admire,', 'wonder']"
1870,mirus ,"['wonderful,', 'astonishing,', 'extraordinary']"
1871,misceo miscui mixtum ,"['to', 'mix,', 'mingle,', 'blend']"
1872,miser ,"['wretched,', 'unfortunate,', 'miserable']"
1873,misere ,"['wretchedly,', 'miserably']"
1874,"misereo, misereor ","['to', 'pity']"
1875,misericordia ,"['pity,', 'mercy']"
1876,missa ,"['holy', 'mass']"
1877,mitesco ,"['to', 'grow', 'mild,', 'ameliorate']"
1878,mitigo ,"['to', 'make', 'mild', 'or', 'ripe,', 'make', 'smooth,', 'pacify,', 'appease']"
1879,mitis ,"['mild,', 'gentle', '/', 'ripe,', 'mature']"
1880,mitto  misi  missum ,"['to', 'send,', 'dispatch']"
1881,modestus ,"['orderly,', 'within', 'bounds,', 'moderate,', 'restrained']"
1882,modica ,"['moderate,', 'within', 'bounds,', 'limited,', 'undistinguished']"
1883,modicus ,"['ordinary,', 'undistinguished,', 'within', 'bounds']"
1884,modio ,"['a', 'grain', 'measure,', 'a', 'bushel', 'basket']"
1885,modo ,"['now,', 'just', 'now,', 'only']"
1886,modus ,"['measure,', 'bound,', 'limit', '/', 'manner,', 'method,', 'mode,', 'way']"
1887,Moguntienses ,['Mainz']
1888,moleste ,"['take', 'annoyance']"
1889,moleste fero ,"['I', 'take', 'annoyance']"
1890,molestia ,"['annoyance,', 'troublesomeness', '/', 'stiffness,', 'affectation']"
1891,molestus ,"['troublesome,', 'disagreeable,', 'annoying']"
1892,molior ,"['to', 'build,', 'erect,', 'construct,', 'contrive,', 'toil,', 'struggle']"
1893,mollio ,"['to', 'soften,', 'make', 'pliant']"
1894,mollis ,"['adj', 'soft,', 'pliant,', 'flexible,', 'easily', 'moved,', 'gentle']"
1895,monachus ,['monk']
1896,Monasteriense ,['Munster']
1897,monasterium ,"['monastery,', 'abbey,', 'convent']"
1898,moneo ,"['to', 'warn,', 'admonish,', 'remind,', 'advise,', 'instruct']"
1899,monitio ,"['admonition,', 'warning']"
1900,mons montis ,"['mountain,', 'mount']"
1901,monstro ,"['to', 'show,', 'appoint,', 'point', 'out,', 'ordain']"
1902,monstrum ,"['portent,', 'omen,', 'monster']"
1903,Montensem ,['Mons']
1904,mora ,['delay']
1905,moratlis ,['mortal']
1906,morbus ,"['sickness,', 'disease,', 'illness']"
1907,"mores, morium ","['ways,', 'conduct,', 'character,', 'morals']"
1908,morior ,"['to', 'die,', 'wither', 'away,', 'decay']"
1909,mors mortis ,['death']
1910,morsus ,"['a', 'biting,', 'bite,', 'also,', 'sting,', 'pain']"
1911,mortifera ,"['deadly', 'things']"
1912,mortuus ,"['dead,', 'deceased,', 'passed', 'away,', 'gone', 'West,', 'departed']"
1913,mos  moris ,"['will,', 'inclination', '/', 'custom,', 'wont,', 'usage,', 'rule']"
1914,moveo moti motum ,"['to', 'move,', 'arouse,', 'affect,', 'influence']"
1915,mox ,"['soon,', 'presently,', 'then,', 'thereupon']"
1916,mucro ,"['a', 'sharp', 'point,', 'edge,', 'dagger', 'point']"
1917,mugio ,"['to', 'groan,', 'bellow,', 'roar,', 'low']"
1918,mulier ,['woman']
1919,multi ,"['many,', 'numerous', '/', 'the', 'common', 'herd']"
1920,multo ,"['by', 'much,', 'by', 'far,', 'by', 'a', 'great', 'deal,', 'by', 'a', 'lot']"
1921,multum ,"['much,', 'greatly']"
1922,multus ne multus ,"['briefly,', 'in', 'brief']"
1923,multus ,"['much,', 'great']"
1924,multus plus plurimum ,"['much,', 'a', 'lot']"
1925,mundo ,"['to', 'clean']"
1926,mundus ,"['world,', 'universe']"
1927,mundus ,"['clean,', 'neat,', 'elegant']"
1928,munero / munerior ,"['to', 'give,', 'present']"
1929,munimentum ,"['fortification,', 'protection,', 'defenses']"
1930,munio ,"['to', 'fortify,', 'defend,', 'protect', '/', 'build', 'a', 'road']"
1931,munitio ,"['fortifying,', 'defense', 'works,', 'bridging,', 'fortification']"
1932,munus  muneris ,"['service,', 'office,', 'function,', 'duty', '/', 'gift']"
1933,mus muris ,['mouse']
1934,mussito ,"['to', 'grumble,', 'mutter']"
1935,mutatio ,"['change,', 'alteration,', 'transformation']"
1936,muto ,"['to', 'change,', 'alter', '/', 'exchange']"
1937,muto ,"['punish,', 'fine,', 'mulct']"
1938,mutuo ,"['borrowed,', 'lend,']"
1939,mutuus ,"['interchanged,', 'mutually,', 'reciprocal', '/', 'reciprocity']"
1940,mutuus a loan. dare mutuum ,"['to', 'make', 'a', 'loan']"
1941,Namucense ,['Namur']
1942,narro ,"['to', 'make', 'known,', 'say,', 'speak,', 'narrate']"
1943,nascor  nasci  natus ,"['to', 'be', 'born,', 'spring', 'forth']"
1944,natalis natalis ,['birthday']
1945,natio ,"['nation,', 'people']"
1946,natura ,['nature']
1947,nauta ,['sailor']
1948,navigatio ,"['voyage,', 'navigation']"
1949,navigo ,"['to', 'sail,', 'navigate']"
1950,navis navis ,"['ship,', 'vessel,', 'boat']"
1951,ne ... quidem ,"['not', 'even']"
1952,ne ,"['(conj)', 'that', 'not,', 'in', 'order', 'that', 'not,', 'in', 'order', 'not', 'to']"
1953,necdum (neque dum) ,"['and', 'not', 'yet']"
1954,necessarius ,"['necessary,', 'needed,', 'essential']"
1955,necesse ,"['(adj)', 'necessary,', 'unavoidable,', 'indispensable']"
1956,necne ,"['or', 'not']"
1957,neco ,"['to', 'kill,', 'slay,', 'put', 'to', 'death']"
1958,nefas ,"['wrong,', 'sin']"
1959,nego ,"['to', 'deny']"
1960,negotium ,"['employment,', 'business,', 'task,', 'occupation,', 'pains']"
1961,nemo ,"['no', 'one,', 'nobody']"
1962,neo ,"['to', 'spin,', 'interweave', '(to', 'spin', 'thread', 'and', 'yarn)']"
1963,nepos nepotis ,['grandson']
1964,nequam ,"['worthless,', 'good', 'for', 'nothing,', 'bad']"
1965,nequaquam ,"['by', 'no', 'means,', 'not', 'at', 'all']"
1966,neque ... neque ,"['neither', 'nor']"
1967,neque nec ,"['and', 'not,', 'nor']"
1968,nequeo ,"['not', 'to', 'be', 'able,', 'to', 'be', 'impossible']"
1969,nequitia nequities ,"['worthlessness,', 'badness,', 'wickedness']"
1970,nescio ,"['to', 'be', 'ignorant,', 'be', 'unaware,', 'not', 'know,', 'be', 'unknowing']"
1971,nichilominus ,['nevertheless']
1972,nidor ,"['vapor,', 'smell,', 'reek,', 'odor']"
1973,niger ,['black']
1974,nihil ,"['(undeclinable)', 'nothing']"
1975,nihilum ,['nothing']
1976,nimirum ,"['of', 'course,', 'undoubtedly,', 'certainly', '(sometimes', 'ironical)']"
1977,nimis ,"['(adv)', 'too', 'much,', 'overmuch,', 'excessively']"
1978,nimium ,"['(adv)', 'too', 'much,', 'overmuch,', 'excessively']"
1979,nisi ,"['if', 'not,', 'unless,', 'except']"
1980,niteo ,"['to', 'shine,', 'glitter,', 'be', 'bright,', 'glow,', 'be', 'sleek,', 'flourish']"
1981,nitesco ,"['to', 'begin', 'to', 'shine,', 'grow', 'sleek']"
1982,nitor ,"['to', 'strive,', 'exert', 'oneself,', 'make', 'an', 'effort,', 'persevere']"
1983,nitor ,"['to', 'rest,', 'lean,', 'support', 'oneself', '/', 'trust', 'in,', 'depend', 'upon']"
1984,nitor ,"['brilliance,', 'brightness,', 'glow,', 'elegance,', 'splendor']"
1985,Nivellensem ,"['Nivelles,', 'city', 'and', 'monastery']"
1986,niveus ,"['white,', 'snowy']"
1987,"no: (nare, navi) ","['to', 'swim,', 'float,', 'fly,', 'sail']"
1988,nobis ,"['(abl)', 'us', '/', ""there'll"", 'be', 'no', 'one', 'as', 'happy', 'as', 'US']"
1989,nobis ,"['(dat)', 'us', '/', 'the', 'world', 'belongs', 'to', 'US']"
1990,nocens ,"['bad,', 'wicked,', 'injurious,', 'culpable,', 'evil']"
1991,noceo ,"['(+', 'dat)', 'to', 'do', 'harm', 'to,', 'inflict', 'injury,', 'hurt']"
1992,"nolo, nolle, nolui ","['to', 'be', 'unwilling,', 'wish', 'not', 'to,', 'refuse']"
1993,nomen name / nomen Romanorum: ,"['Roman', 'power']"
1994,nominatim ,"['by', 'name,', 'expressly']"
1995,nomine tenus ,"['nominally,', 'in', 'name']"
1996,nomine tenus nominetenus ,"['as', 'far', 'as', 'the', 'meaning', 'of', 'the', 'word', 'extends']"
1997,non ,['not']
1998,nondum ,"['not', 'yet']"
1999,nonnisi ,"['not?', 'not', 'unless?', 'Herimann,', 'cap', '34']"
2000,nonnullus ,"['some', '/', 'pl', 'several']"
2001,nonnumquam ,['sometimes']
2002,nonus ,['ninth']
2003,nos ,"['we', '/', 'WE', 'live', 'and', 'die', 'by', 'that', 'creed']"
2004,nos ,"['us', '/', 'they', 'tried', 'to', 'tell', 'US', ""we're"", 'too', 'young']"
2005,nosco ,"['to', 'become', 'acquainted', 'with,', 'get', 'to', 'know']"
2006,noster nostra nostrum ,"['our,', 'ours']"
2007,noster nostri ,"['our', 'ours', '/', 'OUR', 'hearts', 'beat', 'as', 'one']"
2008,noster nostri ,"['our', 'ours', '/', 'that', 'old', 'dream', 'of', 'OURS']"
2009,nota ,"['mark,', 'token,', 'note,', 'sign']"
2010,notarius ,"['stenographer', '(class),', 'notary,', 'legal', 'scribe']"
2011,novem ,['nine']
2012,novitas ,"['newness,', 'novelty,', 'strangeness']"
2013,novo ,"['to', 'make', 'anew,', 'refresh,', 'revive,', 'change,', 'alter,', 'invent']"
2014,novus ,"['novel,', 'unusual,', 'extraordinary', '/', 'news,', 'novelty,', 'a', 'new', 'thing']"
2015,novus ,"['new,', 'fresh,', 'young,', 'inexperienced,', 'revived,', 'refreshed']"
2016,nox noctis ,['night']
2017,nullus ,"['not', 'any,', 'no,', 'none']"
2018,numerus ,"['total,', 'category,', 'class,', 'number']"
2019,numquam ,"['adv', 'at', 'no', 'time,', 'never']"
2020,nunc quidem ,"['at', 'one', 'time', 'then']"
2021,nunc ,"['now,', 'at', 'the', 'present', 'time']"
2022,nunquam ,['never']
2023,nuntio ,"['to', 'announce,', 'report,', 'relate']"
2024,nuntius ,"['messenger,', 'message']"
2025,nuper ,"['newly,', 'recently,', 'not', 'long', 'ago']"
2026,nusquam esse ,"['not', 'to', 'exist']"
2027,nusquam ,"['nowhere,', 'in', 'no', 'place,', 'nothing,', 'for', 'nothing,', 'never']"
2028,nutrimens ,"['food,', 'nourishment']"
2029,nutrimentus ,['nourishment']
2030,nutrio ,"['to', 'suckle,', 'nourish,', 'bring', 'up,', 'rear']"
2031,nutus ,"['a', 'nodding,', 'nod,', 'command,', 'will']"
2032,nutus ,"['a', 'nod,', 'command,', 'will', '/', 'gravitation,', 'movement', 'down']"
2033,obduro ,"['to', 'be', 'hard,', 'persist,', 'endure,', 'last,', 'hold', 'out']"
2034,obicio obieci obiectum ,"['to', 'offer,', 'throw', 'in', ""someone's"", 'teeth']"
2035,obligatus ,"['bound,', 'under', 'an', 'obligation']"
2036,obliquo ,"['to', 'turn', 'sideways,', 'turn', 'aside']"
2037,oblittero ,"['to', 'cancel,', 'blot', 'out']"
2038,oblivio ,"['forgetfulness,', 'oblivion']"
2039,obruo ,"['to', 'overwhelm,', 'destroy']"
2040,obsequium ,"['indulgence,', 'pliancy,', 'submission']"
2041,obstinatus ,"['firm,', 'resolved,', 'staunch']"
2042,obtestor ,"['to', 'implore,', 'entreat,', 'beg,', 'call', 'as', 'a', 'witness']"
2043,obtineo ,"['to', 'hold,', 'keep,', 'possess,', 'maintain', '/', 'to', 'continue']"
2044,obviam ire ,"['(+', 'dat)', 'to', 'go', 'to', 'meet,', 'oppose', '/', 'help,', 'remedy']"
2045,obviam ,"['on', 'the', 'way,', 'in', 'the', 'way', '/', '(+', 'dat)', 'towards,', 'against']"
2046,obvius ,"['on', 'the', 'way,', 'in', 'the', 'way', '/', '(in', 'dat)', 'open,', 'accessible']"
2047,occasio ,"['favorable', 'moment,', 'opportunity']"
2048,occido occidi occasum ,"['to', 'fall,', 'fall', 'down,', '(for', 'the', 'sun)', 'to', 'set']"
2049,occulto ,['secretly']
2050,occupo ,"['to', 'take', 'possession,', 'grasp,', 'seize,', 'enjoy,', 'get', 'a', 'start', 'on']"
2051,occurro ,"['to', 'fall', 'upon,', 'attack,', 'work', 'against,', 'counteract']"
2052,occursus ,"['meeting,', 'falling', 'in,', 'running', 'into', 'each', 'other']"
2053,ocius ,"['quick', 'fleet,', 'sooner,', 'faster']"
2054,oculus ,['eye']
2055,odio ,"['to', 'hate,', 'despite,', 'hold', 'in', 'contempt,', 'dislike', 'strongly']"
2056,odium ,['hatred']
2057,offensio ,"['striking,', 'knocking,', 'hitting', 'against,', 'blow']"
2058,offero ,"['to', 'bring', 'forward,', 'place', 'before,', 'present,', 'offer,', 'expose']"
2059,officina ,"['workshop,', 'factor']"
2060,officium ,"['duty,', 'service,', 'job']"
2061,olim ,"['at', 'that', 'time,', 'formerly,', 'once,', 'for', 'a', 'long', 'time', 'now']"
2062,omitto ,"['to', 'omit,', 'leave', 'out', '/', 'let', 'go']"
2063,omnigenus ,"['of', 'all', 'kinds']"
2064,omnino ,"['altogether,', 'entirely,', 'wholly,', 'certainly,', 'completely']"
2065,omnipotens ,"['all-powerful,', 'almighty,', 'omnipotent']"
2066,omnis ,"['all,', 'every']"
2067,onero ,"['to', 'load,', 'burden,', 'oppress,', 'fill', 'up']"
2068,onus ,"['load,', 'burden,', 'weight,', 'trouble', '/', 'charge,', 'public', 'road', 'tax']"
2069,opera ,"['work,', 'pains,', 'labor']"
2070,operor ,"['to', 'work,', 'labor,', 'toil,', 'take', 'pains']"
2071,opes ,"['(pl)', 'means,', 'wealth,', 'abundance,', 'riches,', 'resources']"
2072,opinio ,"['opinion,', 'report,', 'rumor,', 'conjecture,', 'report']"
2073,opisthotonos ,"['A', 'disease', 'where', 'the', 'body', 'is', 'curved', 'backward']"
2074,oporotheca ,"['place', 'for', 'keeping', 'fruit']"
2075,oportet ,"['it', 'is', 'proper,', 'one', 'should,', 'one', 'ought']"
2076,oportunitas ,"['convenience,', 'fitness,', 'advantage,', 'opportunity']"
2077,oppono  opposui oppositum ,"['to', 'set', 'against,', 'oppose,', 'be', 'opposite']"
2078,opportune ,"['(adv)', 'opportunely,', 'conveniently']"
2079,opportunitas ,"['fitness,', 'suitability,', 'convenience,', 'advantage']"
2080,opportunitatus ,"['Herimann,', 'cap', '42']"
2081,opportunus ,"['opportune,', 'fit,', 'convenient,', 'suitable']"
2082,opportunus ,"['fit,', 'suitable', '/', '(time)', 'favorable', '/', '(+dat)', 'liable', 'to']"
2083,opprimo oppressi oppressum ,"['to', 'suppress,', 'overwhelm,', 'overpower,', 'check']"
2084,opprobrium ,"['reproach,', 'disgrace']"
2085,oppugno ,"['to', 'fight', 'against,', 'attack,', 'assault,', 'assail']"
2086,ops singular: ,"['power,', 'power', 'to', 'aid,', 'power', 'to', 'help']"
2087,optimates ,"['the', 'aristocratic', 'party']"
2088,optimus: ,"['one', 'of', 'the', 'best,', 'aristocrat,', 'noble']"
2089,opto ,"['to', 'desire,', 'wish', 'for,', 'want']"
2090,opus operis ,"['work,', 'labor,', 'work', 'done,', 'completed', 'work,', 'building']"
2091,oratio ,"['speech,', 'address,', 'oration']"
2092,orator ,"['orator,', 'speaker']"
2093,orbis terrarum ,"['the', 'world,', 'the', 'Earth']"
2094,orbis ,"['circle,', 'orb']"
2095,ordinatio ,"['rule,', 'government,', 'order,', 'arrangment,', 'regulation']"
2096,"ordine, ordinem ","['regularly,', 'appropriately,', 'properly']"
2097,ordo ,"['rank,', 'class,', 'order']"
2098,orior oriri ortus ,"['rise,', 'become', 'visible,', 'appear']"
2099,ornatus ,"['dress,', 'attire,', 'equipment,', 'ornament,', 'embellishment']"
2100,orno ,"['to', 'equip,', 'furnish,', 'supply', '/', 'decorate,', 'adorn']"
2101,oro ,"['to', 'speak,', 'argue,', 'plead,', 'orate,', 'beg,', 'entreat']"
2102,"os, oris ","['mouth,', 'face,', 'countenance']"
2103,ostendo ,"['show,', 'reveal,', 'present,', 'make', 'plain,', 'declare']"
2104,ostium ,"['entrance,', 'door']"
2105,otium ,"['free', 'time,', 'leisure,', 'ease,', 'peace,', 'repose']"
2106,otium ,"['ease,', 'leisure,', 'inactivity']"
2107,ovis ovis ,['sheep']
2108,paciscor ,"['to', 'make', 'a', 'bargain', 'or', 'agreement,', 'covenant,', 'deal']"
2109,pactum ,"['treaty,', 'pact,', 'contract']"
2110,pactum ,"['agreement,', 'contract,', 'covenant,', 'pact']"
2111,pactus ,"['agreed-upon,', 'stipulated,', 'betrothed']"
2112,"paene, pene ","['nearly,', 'almost']"
2113,paganus ,"['countryman,', 'peasant,', 'pagan']"
2114,pala ,"['spade,', 'peel', 'for', 'putting', 'bread', 'in', 'the', 'oven']"
2115,palam ,"['openly,', 'publicly,', '(+abl)', 'in', 'the', 'presence', 'of']"
2116,palea ,['chaff']
2117,pallium ,"['coverlet,', 'mantle,', 'cloak']"
2118,palma ,['palm']
2119,pando ,"['to', 'stretch', 'out,', 'spread', 'out,', 'extent']"
2120,panis panis ,['bread']
2121,par ,"['equal,', 'like']"
2122,paratus ,"['prepared,', 'ready,', 'provided,', 'equipped']"
2123,paratus ,"['prepared,', 'ready,', 'equipped;', '(of', 'persons)', 'skilled']"
2124,paratus ,"['preparation,', 'fitting', 'out,', 'equipment']"
2125,parco ,"['(with', 'dative)', 'to', 'spare,', 'refrain', 'from', 'injuring']"
2126,parco (+inf.: ,"['to', 'forbear', 'to),', 'avoid,', 'spare,', 'keep', 'oneself', 'from']"
2127,parens parentis ,['parent']
2128,pareo ,"['(+', 'dat)', 'to', 'be', 'obedient', 'to,', 'obey']"
