,Word,Definition
205,ascit ,[]
206,asper ,"['rough,', 'harsh,', 'severe']"
207,asperitas ,"['roughness,', 'severity', '/', 'harshness,', 'fierceness']"
208,aspicio ,"['to', 'look', 'at,', 'behold,', 'gaze', 'at,', 'see']"
209,asporto ,"['to', 'carry', 'off,', 'take', 'away']"
210,assentator ,"['flatterer,', 'sycophant,', 'yes-man']"
211,astrum ,"['star,', 'constellation']"
212,Asvesniis ,"['of', 'Avesnes']"
213,at ,"['(conj)', 'but', '(more', 'emphatic', 'and', 'emotional', 'than', 'sed)']"
214,atavus ,"['great-great-great', 'grandfather,', 'ancestor']"
215,ater atra atrum ,['dark']
216,atqui ,"['(conj)', 'and', 'yet,', 'still']"
217,Atrebatum ,['Arras']
218,atrocitas ,"['hashness,', 'cruelty,', 'frightfulness,', 'barbarity,', 'horror']"
219,atrox ,"['terrible,', 'cruel,', 'horror']"
220,attero ,"['destroy,', 'waste,', 'weaken,', 'impair']"
221,attero ,"['to', 'weaken,', 'ruin,', 'rub', 'against,', 'rub', 'away,', 'erode']"
222,attollo ,"['to', 'raise,', 'lift', 'up,', 'elevate', '/', 'excite,', 'exalt']"
223,attonbitus ,"['frantic,', 'inspired,', 'thunder-struck,', 'stunned']"
224,auctor ,"['author,', 'originator']"
225,auctoritas ,['authority']
226,auctus ,"['growth,', 'enlargement,', 'increase']"
227,audacia ,"['boldness,', 'dash,', 'daring,', 'audacity']"
228,"audacter, audaciter ","['boldly,', 'proudly,', 'fearlessly']"
229,audax ,['bold']
230,audentia ,"['boldness,', 'courage']"
231,audeo (part. ausus ) ,"['to', 'dare']"
232,audio ,"['to', 'hear,', 'hearken,', 'listen', 'to']"
233,auditor ,"['hearer,', 'listener']"
234,aufero ,"['to', 'carry', 'away,', 'remove', '/', 'steal,', 'carry', 'off,', 'make', 'away', 'with']"
235,aureus ,['golden']
236,auris ,['ear']
237,Aurissiodorenses ,"['Auxerre,', 'dept', 'Yonne,', 'between', 'Paris', 'and', 'Dijon']"
238,aurum ,['gold']
239,aut ... aut ,"['either', 'or']"
240,autem ,"['moreover,', 'however,', 'but,', 'also']"
241,autus ,"['increase,', 'enlargement,', 'growth']"
242,Auxatia ,['Alsace']
243,auxilium ,"['aid,', 'help,', 'assistance,', 'support']"
244,avaritia ,"['avarice,', 'greed']"
245,avarus ,"['greedy,', 'avaricious']"
246,aveho ,"['to', 'carry', 'away,', 'remove', '(avexi', 'avectum', ')']"
247,averto ,"['to', 'turn', 'away,', 'avert,', 'avoid', 'turn', 'back']"
248,Avesniis ,['Avesnes']
249,avoco ,"['to', 'call', 'away,', 'divert']"
250,balbus ,"['stammering,', 'stuttering,', 'fumbling']"
251,barba ,"['beard,', 'whiskers']"
252,bardus ,"['stupid,', 'slow,', 'dull']"
253,basium ,['kiss']
254,beatus ,"['blessed,', 'fortunate,', 'sometimes', '""saint""']"
255,bellicus ,"['martial,', 'military,', 'war-like']"
256,bellum ,['war']
257,bellus ,"['beautiful,', 'pretty,', 'charming,', 'handsome']"
258,bene melior optime ,"['well,', 'better,', 'best']"
259,beneficium ,"['benefit,', 'favor,', 'service,', 'privilege,', 'right']"
260,benevolentia ,"['benevolence,', 'kindness,', 'good', 'will']"
261,benigne ,"['kindly,', 'generously']"
262,Berlinmonte ,"['Berlaimont,', 'near', 'Le', 'Quesnoy']"
263,bestia ,"['animal,', 'beast']"
264,bibo ,"['to', 'drink,', 'quaff']"
265,bis ,['twice']
266,blandior ,"['to', 'flatter,', 'caress,', '(+', 'dat)', 'coax']"
267,blanditia ,"['blandishments,', 'attractions,', 'allurement,', 'charm']"
268,Blesense ,['Blois']
269,Boloniense ,['Bouillon']
270,bonus melior optimus ,"['good,', 'better,', 'best']"
271,bos (bovis ) ,"['cow,', 'ox,', 'bull']"
272,Brabatensium ,['Brabant']
273,Brachants ,['Brabant']
274,brevis ,"['short,', 'small,', 'brief']"
275,brevitas ,"['shortness,', 'brevity']"
276,breviter ,['briefly']
277,Brocherota ,['Broqueroi']
278,caecus ,"['blind,', 'sightless']"
279,caelestis ,"['heavenly,', 'celestial', '/', 'noun,', 'a', 'god,', 'dweller', 'in', 'heaven']"
280,caelum ,"['sky,', 'heaven']"
281,calamitas ,"['calamity,', 'misfortune,', 'disaster']"
282,calamus ,"['anything', 'made', 'or', 'reed', '--', 'pen,', 'arrow,', 'pipe,', 'etc']"
283,"calcar, -is ",['spur']
284,calco ,"['to', 'tread,', 'trample', 'upon']"
285,calculus ,"['pebble,', 'stone']"
286,callide ,"['skillfully,', 'cleverly', '/', 'cunningly,', 'slyly,', 'subtly']"
287,callidus ,"['clever,', 'dextrous,', 'experienced,', 'skilful', '/', 'cunning,', 'sly']"
288,Cameracum ,['Cambrai']
289,campana ,['bell']
290,candidus ,"['bright,', 'shining,', 'white']"
291,canis ,['dog']
292,canonicus ,"['canonical,', 'according', 'to', 'the', 'canons,', 'legal,', 'lawful,', 'right']"
293,canonus ,"['canon,', 'member', 'of', 'a', 'cathedral', 'chapter', 'or', 'canonry,', 'Augustinian']"
294,canto ,"['to', 'sing']"
295,capillus ,['hair']
296,capio ,"['to', 'seize,', 'take,', 'choose', '/', 'attack,', 'injure', '/', 'comprehend']"
297,capitulus ,"['chapter,', 'chapter', 'meeting,', 'chapter', 'house']"
298,capto ,"['to', 'grab,', 'try', 'to', 'get,', 'grab', 'at']"
299,caput capitis ,"['head', '/', 'top,', 'summit', '/', 'chief']"
300,carbo carbonis ,"['carbon,', 'coal,', 'charcoal']"
301,carcer ,"['prison,', 'cell,', 'jail,', 'dungeon']"
302,careo ,"['(+', 'abl', 'of', 'sep)', 'be', 'without,', 'be', 'deprived', 'of,', 'lack,', 'want']"
303,caries ,"['rottenness,', 'corruption,', 'decay']"
304,cariosus ,"['rotten,', 'decayed']"
305,caritas ,"['dearness,', 'affection', '/', 'charity']"
306,carmen ,"['song,', 'poem']"
307,Carnotense ,['Chartres']
308,Carnutum Carnotum ,['Chartres']
309,carpo ,"['to', 'pluck,', 'seize,', 'grab,', 'lay', 'hold', 'of,', 'hold', 'on', 'to']"
310,carus ,"['dear,', 'beloved', '/', 'costly,', 'high-priced,', 'expensive']"
311,casso ,"['to', 'bring', 'to', 'naught,', 'destroy,', 'annul,', 'make', 'void']"
312,caste ,"['purely,', 'spotlessly,', 'purely,', 'uprightly,', 'chastely']"
313,Castellandum ,['Chateaudun']
314,casus ,"['accident,', 'chance,', 'fortune']"
315,catena ,"['chain,', 'fetters']"
316,caterva ,"['crowd,', 'troop,', 'flock']"
317,catervatim ,"['in', 'troops,', 'in', 'masses']"
318,Cathalaunenses ,['Chalons']
319,cattus ,['cat']
320,cauda ,"['the', 'tail', 'of', 'an', 'animal']"
321,causa ,"['(in', 'the', 'abl)', 'on', 'account', 'of,', 'for', 'the', 'sake', 'of']"
322,causa ,"['cause', '/', 'reason,', 'motive,', 'pretext', '/', 'interest']"
323,causa ,"['case', 'at', 'law,', 'case,', 'law-suit', '/', 'situation,', 'condition']"
324,caute cautim ,"['cautiously,', 'with', 'security']"
325,cautela ,"['caution,', 'precaution,', 'security']"
326,caveo cavi cautum ,"['beware,', 'avoid,', 'look', 'out', 'for']"
327,cavus ,"['hole,', 'pit']"
328,cedo ,"['to', 'go,', 'proceed', '/', 'turn', 'out,', 'happen', '/', 'go', 'away,', 'withdraw']"
329,cedo cessi cessum ,"['to', 'grant,', 'yield']"
330,cedo ,"['(+', 'dat)', 'give', 'ground', 'to,', 'submit', 'to,', 'be', 'inferior', 'to']"
331,celebrer ,"['famous,', 'renowned']"
332,celebrus ,"['abounding', 'in,', 'rich', 'in,', 'much', 'frequented,', 'respected']"
333,celer ,"['quick,', 'swift,', 'rapid,', 'speedy,', 'fast']"
334,celeritas ,"['speed,', 'swiftness,', 'rapidity,', 'quickness']"
335,celeriter ,"['rapidly,', 'quickly,', 'swiftly,', 'speedily']"
336,celo ,"['to', 'hide,', 'conceal,', 'keep', 'secret']"
337,cena ,"['dinner,', 'meal']"
338,cenaculum ,"['garret,', 'attic']"
339,ceno ,"['to', 'dine']"
340,censura ,['judgement']
341,centum ,"['(indecl)', 'one', 'hundred,', '100']"
342,cerno ,"['to', 'separate,', 'sift,', 'distinguish', '/', 'decide,', 'resolve,', 'determine']"
343,cernuus ,"['falling', 'headlong']"
344,certe certo ,"['(adv)', 'certainly,', 'assuredly']"
345,certo ,"['to', 'contend,', 'settle,', 'dispute,', 'to', 'settle', 'by', 'combat']"
346,certus ,"['undoubted,', 'certain,', 'sure']"
347,certus ,"['settled,', 'resolved,', 'decided', '/', 'definite,', 'certain,', 'sure']"
348,cervus ,"['stag,', 'deer']"
349,cetera ,"['for', 'the', 'rest,', 'otherwise']"
350,ceteri ,"['the', 'remaining,', 'the', 'rest,', 'the', 'others']"
351,ceterum ,"['(adv)', 'otherwise,', 'moreover,', 'but']"
352,ceterus ,"['the', 'other,', 'the', 'rest']"
353,charisma carisma ,"['gift,', 'present']"
354,chirographum ,"['autograph,', ""person's"", 'own', 'handwriting', '/', 'written', 'charter']"
355,cibo ,"['food', 'for', 'animals']"
356,cibus ,"['food', 'for', 'men', 'and', 'animals']"
357,cicuta ,['hemlock']
358,cilicium ,"['(?', 'Herimann,', 'p', '311)']"
359,cimentarius ,['mason?']
360,ciminatio ,"['accusation,', 'calumny,', 'charge']"
361,ciminosus ,"['reproachful,', 'slanderous']"
362,cinis cineris ,"['ashes,', 'embers']"
363,circumvenio ,"['to', 'come', 'around,', 'surround,', 'cheat,', 'defraud']"
364,circumvenio ,"['to', 'beset,', 'assail']"
365,cito: ,"['quickly,', 'rapidly,', 'speedily']"
366,civilis ,"['civil,', 'civic']"
367,civis ,"['citizen,', 'townsman,', 'bourgeois,', 'burgess']"
368,civitas ,"['state,', 'citizenship,', 'city-state']"
369,clam ,"['secretly,', 'in', 'secret']"
370,clamo ,"['to', 'call,', 'shout,', 'cry', 'aloud,', 'proclaim,', 'declare']"
371,clamor ,"['loud', 'shouting,', 'cry']"
372,claro ,"['to', 'make', 'bright', 'or', 'clear,', 'make', 'clear', 'in', 'the', 'mind']"
